DocumentID,CaseName,DocumentType,Date,Summary,RelevanceScore,Keywords
1,Case 1,Regulatory Filing,2019-04-02,An in-depth analysis of intellectual property is provided in this corporate mergers document.,90,"environmental, regulation, compliance"
2,Case 2,Brief,2018-04-13,This filing examines risk management and offers insights into litigation strategy.,79,"employment, discrimination, labor"
3,Case 3,Legal Analysis,2021-01-31,This document discusses environmental regulations with reference to corporate mergers.,66,"privacy, data, security"
4,Case 4,Patent Filing,2020-09-30,An in-depth analysis of environmental regulations is provided in this employment law document.,98,"regulation, policy, update"
5,Case 5,Regulatory Filing,2020-07-03,This document discusses contract law with reference to environmental regulations.,69,"privacy, data, security"
6,Case 6,Settlement Agreement,2019-07-26,A detailed review of risk management with implications for intellectual property is outlined here.,97,"privacy, data, security"
7,Case 7,Probate Filing,2019-02-24,A detailed review of compliance issues with implications for risk management is outlined here.,74,"merger, acquisition, corporate"
8,Case 8,Regulatory Filing,2024-02-12,An in-depth analysis of compliance issues is provided in this privacy concerns document.,71,"privacy, data, security"
9,Case 9,Legal Analysis,2018-12-23,A detailed review of environmental regulations with implications for employment law is outlined here.,62,"contract, damages, breach"
10,Case 10,Patent Filing,2024-08-15,This document discusses intellectual property with reference to compliance issues.,68,"intellectual property, patent, trademark"
11,Case 11,Brief,2022-09-25,An in-depth analysis of employment law is provided in this regulatory changes document.,98,"compliance, legal, advisory"
12,Case 12,Legal Analysis,2018-05-11,A detailed review of contract law with implications for regulatory changes is outlined here.,85,"regulation, policy, update"
13,Case 13,Legal Analysis,2018-05-03,An in-depth analysis of intellectual property is provided in this privacy concerns document.,61,"privacy, data, security"
14,Case 14,Probate Filing,2019-01-19,An in-depth analysis of privacy concerns is provided in this regulatory changes document.,90,"environmental, regulation, compliance"
15,Case 15,Criminal Complaint,2020-06-14,This filing examines risk management and offers insights into litigation strategy.,68,"environmental, regulation, compliance"
16,Case 16,Patent Filing,2020-08-10,A detailed review of risk management with implications for regulatory changes is outlined here.,61,"risk, management, assessment"
17,Case 17,Contract,2023-09-01,A detailed review of regulatory changes with implications for privacy concerns is outlined here.,58,"litigation, trial, evidence"
18,Case 18,Legal Analysis,2024-10-01,An in-depth analysis of privacy concerns is provided in this corporate mergers document.,56,"contract, damages, breach"
19,Case 19,Criminal Complaint,2018-04-19,An in-depth analysis of corporate mergers is provided in this regulatory changes document.,77,"contract, damages, breach"
20,Case 20,Contract,2024-04-17,A detailed review of environmental regulations with implications for corporate mergers is outlined here.,63,"merger, acquisition, corporate"
21,Case 21,Patent Filing,2020-03-25,A detailed review of intellectual property with implications for corporate mergers is outlined here.,80,"privacy, data, security"
22,Case 22,Court Opinion,2024-02-11,An in-depth analysis of corporate mergers is provided in this litigation strategy document.,68,"risk, management, assessment"
23,Case 23,Settlement Agreement,2022-09-15,The case involves regulatory changes and addresses key issues such as intellectual property.,96,"privacy, data, security"
24,Case 24,Criminal Complaint,2020-06-21,An in-depth analysis of employment law is provided in this environmental regulations document.,65,"merger, acquisition, corporate"
25,Case 25,Memorandum,2023-01-14,A detailed review of employment law with implications for environmental regulations is outlined here.,54,"regulation, policy, update"
26,Case 26,Court Opinion,2024-08-10,This document discusses compliance issues with reference to litigation strategy.,84,"contract, damages, breach"
27,Case 27,Settlement Agreement,2021-02-13,This filing examines privacy concerns and offers insights into compliance issues.,61,"intellectual property, patent, trademark"
28,Case 28,Probate Filing,2018-01-27,This document discusses environmental regulations with reference to compliance issues.,74,"compliance, legal, advisory"
